#
#"Frequency / MHz"	"S2,1 [SPara1] [Magnitude in dB]"
#---------------------------------------------------
0.13800000000000	-0.86382723874573
0.14231250000000	-0.87087313013279
0.14662500000000	-0.87829259771590
0.15093750000000	-0.88573009666901
0.15525000000000	-0.89247663245258
0.15956250000000	-0.90088716265617
0.16387500000000	-0.90866575015770
0.16818750000000	-0.91649956701204
0.17250000000000	-0.92425894823723
0.17681250000000	-0.93217935657711
0.18112500000000	-0.94013225592459
0.18543750000000	-0.94804482280981
0.18975000000000	-0.95633798102442
0.19406250000000	-0.96407325809317
0.19837500000000	-0.97291894049916
0.20268750000000	-0.98090153703299
0.20700000000000	-0.98918254653093
0.21131250000000	-0.99747797506834
0.21562500000000	-1.0058093058895
0.21993750000000	-1.0140449032003
0.22425000000000	-1.0227460020829
0.22856250000000	-1.0311678289122
0.23287500000000	-1.0396513233391
0.23718750000000	-1.0481281896547
0.24150000000000	-1.0566220396491
0.24581250000000	-1.0659710076998
0.25012500000000	-1.0736332344768
0.25443750000000	-1.0826382527182
0.25875000000000	-1.0913746133838
0.26306250000000	-1.0995681943390
0.26737500000000	-1.1084751662960
0.27168750000000	-1.1174196590611
0.27600000000000	-1.1262302415081
0.28031250000000	-1.1349162873704
0.28462500000000	-1.1438196819057
0.28893750000000	-1.1526967165411
0.29325000000000	-1.1614893256961
0.29756250000000	-1.1708495784295
0.30187500000000	-1.1795771188039
0.30618750000000	-1.1887587624013
0.31050000000000	-1.1972384269925
0.31481250000000	-1.2070408718698
0.31912500000000	-1.2141871809543
0.32343750000000	-1.2251989237761
0.32775000000000	-1.2347576809643
0.33206250000000	-1.2437696936858
0.33637500000000	-1.2533912278947
0.34068750000000	-1.2629654989401
0.34500000000000	-1.2726431902544
0.34931250000000	-1.2824349170840
0.35362500000000	-1.2919612101336
0.35793750000000	-1.3023903501019
0.36225000000000	-1.3118184278774
0.36656250000000	-1.3218123868188
0.37087500000000	-1.3323859717192
0.37518750000000	-1.3421202920547
0.37950000000000	-1.3523823471021
0.38381250000000	-1.3627997289301
0.38812500000000	-1.3727364053143
0.39243750000000	-1.3832063352232
0.39675000000000	-1.3943965215851
0.40106250000000	-1.4050162065489
0.40537500000000	-1.4162976382429
0.40968750000000	-1.4271926637961
0.41400000000000	-1.4382253414196
0.41831250000000	-1.4495921290249
0.42262500000000	-1.4609535437402
0.42693750000000	-1.4724015308417
0.43125000000000	-1.4842032403095
0.43556250000000	-1.4960104812851
0.43987500000000	-1.5078625620198
0.44418750000000	-1.5201271333840
0.44850000000000	-1.5323888582192
0.45281250000000	-1.5448802203933
0.45712500000000	-1.5572545525133
0.46143750000000	-1.5706274062288
0.46575000000000	-1.5830266234011
0.47006250000000	-1.5962226701686
0.47437500000000	-1.6092897979029
0.47868750000000	-1.6228522892552
0.48300000000000	-1.6366229152920
0.48731250000000	-1.6503015071177
0.49162500000000	-1.6644028854744
0.49593750000000	-1.6786465663356
0.50025000000000	-1.6929877063385
0.50456250000000	-1.7075585157551
0.50887500000000	-1.7221937543966
0.51318750000000	-1.7378116974190
0.51750000000000	-1.7524090346462
0.52181250000000	-1.7682022898614
0.52612500000000	-1.7835763732527
0.53043750000000	-1.7993821056409
0.53475000000000	-1.8154972072483
0.53906250000000	-1.8313545792771
0.54337500000000	-1.8479982341986
0.54768750000000	-1.8654771513981
0.55200000000000	-1.8820007149114
0.55631250000000	-1.8988010463145
0.56062500000000	-1.9172892930299
0.56493750000000	-1.9283156449297
0.56925000000000	-1.9518165549264
0.57356250000000	-1.9699814780979
0.57787500000000	-1.9880356384042
0.58218750000000	-2.0069522467470
0.58650000000000	-2.0253419635189
0.59081250000000	-2.0444889885731
0.59512500000000	-2.0643355270368
0.59943750000000	-2.0839871030220
0.60375000000000	-2.1037169968110
0.60806250000000	-2.1238318947552
0.61237500000000	-2.1440016896297
0.61668750000000	-2.1650935489599
0.62100000000000	-2.1855392411243
0.62531250000000	-2.2070941352507
0.62962500000000	-2.2256232243920
0.63393750000000	-2.2505423346736
0.63825000000000	-2.2724172900449
0.64256250000000	-2.2942163542225
0.64687500000000	-2.3171950748291
0.65118750000000	-2.3401802157056
0.65550000000000	-2.3633381694965
0.65981250000000	-2.3874676700847
0.66412500000000	-2.4097692488053
0.66843750000000	-2.4342596220304
0.67275000000000	-2.4586363869391
0.67706250000000	-2.4833116886436
0.68137500000000	-2.5085576870019
0.68568750000000	-2.5332771233412
0.69000000000000	-2.5589165936828
0.69431250000000	-2.5849014950953
0.69862500000000	-2.6112755431563
0.70293750000000	-2.6373779493271
0.70725000000000	-2.6660385264651
0.71156250000000	-2.6909436082705
0.71587500000000	-2.7186548390474
0.72018750000000	-2.7461306488498
0.72450000000000	-2.7742732189094
0.72881250000000	-2.8023871119336
0.73312500000000	-2.8308840373157
0.73743750000000	-2.8599318039661
0.74175000000000	-2.8891786575068
0.74606250000000	-2.9186149937939
0.75037500000000	-2.9486585834853
0.75468750000000	-2.9788612926684
0.75900000000000	-3.0092925081757
0.76331250000000	-3.0405103238333
0.76762500000000	-3.0716144184444
0.77193750000000	-3.1030382692837
0.77625000000000	-3.1351210717004
0.78056250000000	-3.1673320731901
0.78487500000000	-3.1999125181521
0.78918750000000	-3.2328988273961
0.79350000000000	-3.2663562895387
0.79781250000000	-3.3002529347782
0.80212500000000	-3.3338668435752
0.80643750000000	-3.3687082572057
0.81075000000000	-3.4036256032200
0.81506250000000	-3.4386622360160
0.81937500000000	-3.4743251875703
0.82368750000000	-3.5104106674008
0.82800000000000	-3.5466345097213
